n,trial,method,runtime_ms,runtime_s,triangle_count,memory_mb,memory_bytes,gc_impact_percent
100,1,SpatialGrid,9,0.009,183,0.21,224216,0.00
100,1,Raw,0,0.000,183,0.20,207768,0.00
100,2,SpatialGrid,0,0.000,183,0.21,224216,0.00
100,2,Raw,0,0.000,183,0.20,207768,0.00
100,3,SpatialGrid,0,0.000,183,0.21,224216,0.00
100,3,Raw,0,0.000,183,0.20,207768,0.00
500,1,SpatialGrid,3,0.003,980,1.16,1216192,0.00
500,1,Raw,4,0.004,980,1.02,1065024,0.00
500,2,SpatialGrid,3,0.003,980,1.16,1219464,0.00
500,2,Raw,4,0.004,980,1.02,1065768,0.00
500,3,SpatialGrid,3,0.003,980,1.16,1211232,0.00
500,3,Raw,4,0.004,980,1.02,1065768,0.00
1000,1,SpatialGrid,7,0.007,1973,2.42,2539112,0.00
1000,1,Raw,9,0.009,1973,2.06,2161592,0.00
1000,2,SpatialGrid,8,0.008,1973,2.42,2536512,0.00
1000,2,Raw,10,0.010,1973,2.06,2163448,0.00
1000,3,SpatialGrid,9,0.009,1973,2.42,2536512,0.00
1000,3,Raw,9,0.009,1973,2.06,2163056,0.00
5000,1,SpatialGrid,51,0.051,9962,6.15,6452680,0.20
5000,1,Raw,102,0.102,9962,3.68,3860520,1.07
5000,2,SpatialGrid,56,0.056,9962,6.15,6451304,0.18
5000,2,Raw,127,0.127,9962,3.67,3851888,0.86
5000,3,SpatialGrid,53,0.053,9962,6.15,6445168,0.19
5000,3,Raw,110,0.110,9962,3.67,3852640,1.00
